Apraksts,Cena,Istabas,Stāvs,Iela,Saite
"Īzīrē 2 istabu dzīvokli ar balkonu, ideā..",270 €/mēn.,Ist.: 2,Stāvs: 3/6,Zirņu 6,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/enjkm.html
Izīrējas 1-istabu dzīvoklis 2 stāvu mūra..,250 €/mēn.,Ist.: 1,Stāvs: 2/2,Valmieras 21,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aeecg.html
Izīrē plašu 2-istabu dzīvokli. Plānoju..,480 €/mēn.,Ist.: 2,Stāvs: 2/7,Vēžu 1,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ajche.html
"Tikko pēc kārtīga remonta, mēbeļu un sad..",400 €/mēn.,Ist.: 1,Stāvs: 3/4,Blaumaņa 14,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/emfnb.html
Dzīvoklis atrodas vēsturiskā ēkā Rīgas c..,650 €/mēn.,Ist.: 2,Stāvs: 3/5,Barona 14,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/anhkn.html
"Izīrē gaišu, komfortablu dzīvokli. Divas..",380 €/mēn.,Ist.: 2,Stāvs: 3/5,Lugažu 4,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dxoxd.html
"Rīgas vēsturiskajā centrā, divstāvu koka..",350 €/mēn.,Ist.: 2,Stāvs: 2/2,Bruņinieku 16,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aoflj.html
Сдается квартира с новым ремонтом в в ре..,670 €/mēn.,Ist.: 2,Stāvs: 2/6,Kalniņa 4,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hdphh.html
"Pašā Rīgas centrā, Tērbatas un Lāčplēša ..",335 €/mēn.,Ist.: 1,Stāvs: 3/5,Tērbatas 33/35,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ekoxh.html
Dzīvoklis pilnībā aprīkots ar mēbelēm un..,280 €/mēn.,Ist.: 1,Stāvs: 2/4,Lāčplēša 121A,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agecc.html
Tiek īzīrēts ilgtermiņa 2 istabas dzīvok..,450 €/mēn.,Ist.: 2,Stāvs: 3/3,Lejas 5,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cpjli.html
"Tiek izīrēts dzīvoklis centrā , ir aprīk..",395 €/mēn.,Ist.: 2,Stāvs: 3/6,Čaka 33,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ggfbh.html
Izīrē plašu 2-istabu dzīvokli. Dzīvojamā..,500 €/mēn.,Ist.: 2,Stāvs: 3/6,Stabu 19,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bkhek.html
Izīrē 2 istabu dzīvokli Centrā – Cēsu ie..,300 €/mēn.,Ist.: 2,Stāvs: 3/3,Cēsu 21,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afglp.html
Tiek ilgtermiņā izīrēts gaišs un silts 2..,350 €/mēn.,Ist.: 2,Stāvs: 3/5,Matīsa 111,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ecccl.html
Izīrē ilgtermiņā dzīvokli ar kopējo plat..,285 €/mēn.,Ist.: 1,Stāvs: 2/2,Hospitāļu 43,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ejjeo.html
Izīrē gaišu studio tipa dzīvokli pagalma..,250 €/mēn.,Ist.: 1,Stāvs: 3/4,Čaka 78,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dmomh.html
Tiek piedāvāts 2-ist. dzīvoklis. Skats p..,300 €/mēn.,Ist.: 2,Stāvs: 2/6,Maskavas 39,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/heppx.html
Izīrē gaišu un mājīgu 2. istabu dzīvokli..,450 €/mēn.,Ist.: 2,Stāvs: 3/6,Brīvības 62,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cbghp.html
"Daugavas upes krastā, siltināta/renovēta..",700 €/mēn.,Ist.: 2,Stāvs: 2/5,Eksporta 2A,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dmjlk.html
Izīrē 1-istabas dzīvokli ilgtermiņa īrei..,350 €/mēn.,Ist.: 1,Stāvs: 2/9,Klijānu 16,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/admgx.html
Mēs esam bērnu un dzīvnieku draudzīgi. ..,630 €/mēn.,Ist.: 2,Stāvs: 2/7,Tērbatas 72,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahdni.html
Tiek izīrēts pilnībā labiekārtots studio..,400 €/mēn.,Ist.: 1,Stāvs: 3/5,Ganību d. 15,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bbdel.html
No 1 februāra ilgtermiņa īrei pieejams s..,590 €/mēn.,Ist.: 2,Stāvs: 2/5,Ģertrūdes 22,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cbnhk.html
Tiek piedāvāts 1- ist. dzīvoklis laba st..,280 €/mēn.,Ist.: 1,Stāvs: 2/3,Avotu 76,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aemcl.html
"Tomsona 34, Riga The landlord is rentin..",290 €/mēn.,Ist.: 1,Stāvs: 3/5,Tomsona 34,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahldk.html
Cieņpilni atjaunotajā K. Pēkšēna projekt..,570 €/mēn.,Ist.: 2,Stāvs: 2/5,Avotu 1,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/affjx.html
Сдаётся просторная квартира в центре Риг..,550 €/mēn.,Ist.: 2,Stāvs: 2/5,Brīvības 47,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/boflp.html
